date,ticker,regime,return_20d,return_63d,return_126d,mom_acceleration,price_vs_sma50,price_vs_sma200,sma50_vs_200,return_zscore_5d,dist_sma20,rs_20d_vs_spy,rs_63d_vs_spy,residual_alpha_20d,realized_vol_63d,downside_vol_63d,vol_adj_momentum,avg_dollar_volume_20d,forward_return_20d,forward_excess_return_20d_vs_spy,top_quintile_forward_excess_return
2026-04-30,PLD,risk_on,0.065177,0.097788,0.147612,0.101164,0.040723,0.149614,0.10463,0.993325,0.01817,-0.031612,0.059487,-0.006457,0.215333,0.134439,0.454126,515114547.683411,0.01021,-0.042416,0
2026-04-30,PM,risk_on,0.049196,-0.063783,0.121838,0.162609,-0.0145,0.019984,0.034992,-1.117625,0.026964,-0.047593,-0.102085,0.023926,0.322899,0.236119,-0.197534,751438856.992264,0.074574,0.021949,1
2026-04-30,PNC,risk_on,0.073949,0.001127,0.238448,0.095552,0.046262,0.104715,0.055869,1.631956,0.010788,-0.02284,-0.037174,-0.008411,0.249791,0.189432,0.004513,496693707.620544,-0.008431,-0.061056,0
2026-04-30,PYPL,risk_on,0.12346,-0.053063,-0.309668,0.168807,0.077545,-0.152728,-0.213701,1.23884,0.030934,0.026671,-0.091365,0.0006,0.543133,0.459827,-0.097698,608528721.41367,-0.107499,-0.160125,0
2026-04-30,QCOM,risk_on,0.410905,0.187314,0.003461,0.492712,0.322368,0.156941,-0.125099,1.749628,0.303425,0.314116,0.149013,0.270284,0.472352,0.232058,0.396557,2450686750.407944,0.397817,0.345191,1
2026-04-30,REGN,risk_on,-0.090306,-0.055414,0.082994,-0.07729,-0.06621,0.036981,0.110507,-1.025041,-0.054761,-0.187095,-0.093715,-0.16859,0.297343,0.223832,-0.186364,553196720.353699,-0.129214,-0.181839,0
2026-04-30,ROP,risk_on,-0.000437,-0.02544,-0.218601,0.01451,0.00581,-0.191885,-0.196553,-0.520779,-0.006089,-0.097226,-0.063741,-0.043462,0.297162,0.229447,-0.085609,415849538.474274,-0.082523,-0.135149,0
2026-04-30,RTX,risk_on,-0.095779,-0.116196,-0.007371,-0.028256,-0.105555,-0.009843,0.107007,1.231229,-0.075991,-0.192567,-0.154497,-0.134198,0.270724,0.202692,-0.429203,945233586.867828,0.02464,-0.027986,0
2026-04-30,SBUX,risk_on,0.164768,0.1292,0.249855,0.23394,0.089894,0.179493,0.082208,1.066723,0.072487,0.067979,0.090898,0.054928,0.341376,0.204323,0.378467,725286163.472176,-0.05306,-0.105686,0
2026-04-30,SCHW,risk_on,-0.007796,-0.111342,-0.017469,0.030522,-0.023717,-0.040098,-0.01678,1.548558,-0.018765,-0.104584,-0.149643,-0.081109,0.319768,0.267075,-0.348196,1106013043.525925,-0.043393,-0.096019,0
2026-04-30,SHW,risk_on,-0.012558,-0.090978,-0.088519,0.050635,-0.031321,-0.057221,-0.026738,-0.907128,-0.028435,-0.109347,-0.129279,-0.101422,0.283791,0.193487,-0.320579,545986270.319366,-0.052804,-0.105429,0
