family,ticker,status,available_date,value,pit_ok
short_interest_days_to_cover,LYB,OK,2018-04-30,3.76,True
short_interest_days_to_cover,LYB,OK,2018-05-15,4.02,True
short_interest_days_to_cover,LYG,OK,2017-12-29,2.04,True
short_interest_days_to_cover,LYG,OK,2018-01-12,2.84,True
short_interest_days_to_cover,LYG,OK,2018-01-31,2.47,True
short_interest_days_to_cover,LYG,OK,2018-02-15,2.4,True
short_interest_days_to_cover,LYG,OK,2018-02-28,2.13,True
short_interest_days_to_cover,LYG,OK,2018-03-15,2.61,True
short_interest_days_to_cover,LYG,OK,2018-03-29,3.07,True
short_interest_days_to_cover,LYG,OK,2018-04-13,4.57,True
short_interest_days_to_cover,LYG,OK,2018-04-30,1.0,True
short_interest_days_to_cover,LYG,OK,2018-05-15,2.04,True
short_interest_days_to_cover,LYV,OK,2017-12-29,13.77,True
short_interest_days_to_cover,LYV,OK,2018-01-12,14.5,True
short_interest_days_to_cover,LYV,OK,2018-01-31,9.68,True
short_interest_days_to_cover,LYV,OK,2018-02-15,9.93,True
short_interest_days_to_cover,LYV,OK,2018-02-28,7.38,True
short_interest_days_to_cover,LYV,OK,2018-03-15,7.93,True
short_interest_days_to_cover,LYV,OK,2018-03-29,6.66,True
short_interest_days_to_cover,LYV,OK,2018-04-13,5.03,True
short_interest_days_to_cover,LYV,OK,2018-04-30,9.29,True
short_interest_days_to_cover,LYV,OK,2018-05-15,6.9,True
short_interest_days_to_cover,MA,OK,2017-12-29,2.9,True
short_interest_days_to_cover,MA,OK,2018-01-12,1.75,True
short_interest_days_to_cover,MA,OK,2018-01-31,1.91,True
short_interest_days_to_cover,MA,OK,2018-02-15,1.53,True
short_interest_days_to_cover,MA,OK,2018-02-28,1.67,True
short_interest_days_to_cover,MA,OK,2018-03-15,2.34,True
short_interest_days_to_cover,MA,OK,2018-03-29,1.69,True
short_interest_days_to_cover,MA,OK,2018-04-13,2.03,True
short_interest_days_to_cover,MA,OK,2018-04-30,1.64,True
short_interest_days_to_cover,MA,OK,2018-05-15,1.98,True
short_interest_days_to_cover,MAA,OK,2017-12-29,4.0,True
short_interest_days_to_cover,MAA,OK,2018-01-12,3.02,True
short_interest_days_to_cover,MAA,OK,2018-01-31,2.82,True
short_interest_days_to_cover,MAA,OK,2018-02-15,1.96,True
short_interest_days_to_cover,MAA,OK,2018-02-28,2.18,True
short_interest_days_to_cover,MAA,OK,2018-03-15,1.87,True
short_interest_days_to_cover,MAA,OK,2018-03-29,1.92,True
short_interest_days_to_cover,MAA,OK,2018-04-13,1.97,True
short_interest_days_to_cover,MAA,OK,2018-04-30,2.88,True
short_interest_days_to_cover,MAA,OK,2018-05-15,2.77,True
short_interest_days_to_cover,MAR,OK,2017-12-29,5.25,True
short_interest_days_to_cover,MAR,OK,2018-01-12,4.64,True
short_interest_days_to_cover,MAR,OK,2018-01-31,4.7,True
short_interest_days_to_cover,MAR,OK,2018-02-15,3.12,True
short_interest_days_to_cover,MAR,OK,2018-02-28,3.51,True
short_interest_days_to_cover,MAR,OK,2018-03-15,4.01,True
short_interest_days_to_cover,MAR,OK,2018-03-29,4.24,True
short_interest_days_to_cover,MAR,OK,2018-04-13,2.64,True
short_interest_days_to_cover,MAR,OK,2018-04-30,5.24,True
short_interest_days_to_cover,MAR,OK,2018-05-15,2.81,True
short_interest_days_to_cover,MAS,OK,2017-12-29,3.16,True
short_interest_days_to_cover,MAS,OK,2018-01-12,2.59,True
short_interest_days_to_cover,MAS,OK,2018-01-31,1.98,True
short_interest_days_to_cover,MAS,OK,2018-02-15,1.93,True
short_interest_days_to_cover,MAS,OK,2018-02-28,3.04,True
short_interest_days_to_cover,MAS,OK,2018-03-15,3.05,True
short_interest_days_to_cover,MAS,OK,2018-03-29,2.99,True
short_interest_days_to_cover,MAS,OK,2018-04-13,2.76,True
short_interest_days_to_cover,MAS,OK,2018-04-30,1.16,True
short_interest_days_to_cover,MAS,OK,2018-05-15,2.18,True
short_interest_days_to_cover,MCD,OK,2017-12-29,2.61,True
short_interest_days_to_cover,MCD,OK,2018-01-12,2.09,True
short_interest_days_to_cover,MCD,OK,2018-01-31,1.51,True
short_interest_days_to_cover,MCD,OK,2018-02-15,1.26,True
short_interest_days_to_cover,MCD,OK,2018-02-28,1.22,True
short_interest_days_to_cover,MCD,OK,2018-03-15,1.51,True
short_interest_days_to_cover,MCD,OK,2018-03-29,1.46,True
