name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_x_quality_sn,scenario,orthogonal,-0.031,-1.96,-0.0104,-0.63,False,False
f_x_value_raw,scenario,orthogonal,-0.0062,-0.33,0.0208,1.14,False,False
f_x_value_sn,scenario,orthogonal,0.0065,0.37,0.0182,1.0,True,False
f_x_mom_raw,scenario,orthogonal,-0.0089,-0.51,-0.0377,-1.86,False,False
f_x_mom_sn,scenario,orthogonal,0.009,0.51,-0.037,-1.8,False,True
orthogonal_blend__ic_weighted,model,model,0.0069,0.38,-0.041,-1.93,False,True
orthogonal_blend__equal,model,model,0.03,1.42,-0.0402,-1.67,False,True
f_level_raw,scenario,orthogonal,-0.005,-0.22,0.0232,1.09,False,False
f_level_sn,scenario,orthogonal,0.0131,0.65,0.0219,1.03,True,False
f_chg1_raw,scenario,orthogonal,0.0005,0.02,0.0185,1.06,True,False
f_chg1_sn,scenario,orthogonal,-0.0107,-0.62,0.0173,0.99,False,False
f_accel_raw,scenario,orthogonal,0.0333,1.79,0.0106,0.56,True,False
f_accel_sn,scenario,orthogonal,0.0159,0.91,0.0098,0.51,True,False
f_lag1_raw,scenario,orthogonal,-0.0313,-1.39,-0.0113,-0.53,False,False
f_lag1_sn,scenario,orthogonal,0.0115,0.61,-0.0121,-0.57,False,True
f_rmean_5_raw,scenario,orthogonal,-0.0172,-0.73,-0.0019,-0.09,False,False
f_rmean_5_sn,scenario,orthogonal,0.008,0.37,-0.0027,-0.13,False,True
f_rstd_5_raw,scenario,orthogonal,-0.0223,-1.09,0.0229,1.11,False,False
f_rstd_5_sn,scenario,orthogonal,-0.0062,-0.35,0.0221,1.08,False,False
f_rchg_5_raw,scenario,orthogonal,-0.015,-0.77,0.0023,0.11,False,False
f_rchg_5_sn,scenario,orthogonal,-0.0196,-1.2,0.0022,0.1,False,False
f_rmean_21_raw,scenario,orthogonal,-0.0212,-1.06,0.037,1.78,False,False
f_rmean_21_sn,scenario,orthogonal,-0.0139,-0.79,0.0366,1.76,False,False
f_rstd_21_raw,scenario,orthogonal,-0.0067,-0.33,0.0058,0.3,False,False
f_rstd_21_sn,scenario,orthogonal,-0.0031,-0.17,0.005,0.26,False,False
f_rchg_21_raw,scenario,orthogonal,-0.002,-0.11,-0.0116,-0.58,False,False
f_rchg_21_sn,scenario,orthogonal,0.0026,0.15,-0.011,-0.55,False,True
f_rmean_63_raw,scenario,orthogonal,-0.0299,-1.6,0.0258,1.17,False,False
f_rmean_63_sn,scenario,orthogonal,-0.0263,-1.58,0.0257,1.17,False,False
f_rstd_63_raw,scenario,orthogonal,-0.0245,-1.32,-0.0001,-0.0,False,False
f_rstd_63_sn,scenario,orthogonal,-0.0383,-2.51,-0.0006,-0.03,False,False
